name,tags,time,pump,tank,value
pump_speed,,1546300800000000000,I1,city_water,0
pump_speed,,1546300801000000000,I1,city_water,0
pump_speed,,1546300802000000000,I1,city_water,0
pump_speed,,1546300803000000000,I1,city_water,0
pump_speed,,1546300804000000000,I1,city_water,0
pump_speed,,1546300805000000000,I1,city_water,0
pump_speed,,1546300806000000000,I1,city_water,0
pump_speed,,1546300807000000000,I1,city_water,0
pump_speed,,1546300808000000000,I1,city_water,0
pump_speed,,1546300809000000000,I1,city_water,0
pump_speed,,1546300810000000000,I1,city_water,0
pump_speed,,1546300811000000000,I1,city_water,0
pump_speed,,1546300812000000000,I1,city_water,0
pump_speed,,1546300813000000000,I1,city_water,0
pump_speed,,1546300814000000000,I1,city_water,0
pump_speed,,1546300815000000000,I1,city_water,0
pump_speed,,1546300816000000000,I1,city_water,0
pump_speed,,1546300817000000000,I1,city_water,0
pump_speed,,1546300818000000000,I1,city_water,0
pump_speed,,1546300819000000000,I1,city_water,0
pump_speed,,1546300820000000000,I1,city_water,0
pump_speed,,1546300821000000000,I1,city_water,0
pump_speed,,1546300822000000000,I1,city_water,0
pump_speed,,1546300823000000000,I1,city_water,0
pump_speed,,1546300824000000000,I1,city_water,0
pump_speed,,1546300825000000000,I1,city_water,0
pump_speed,,1546300826000000000,I1,city_water,0
pump_speed,,1546300827000000000,I1,city_water,0
pump_speed,,1546300828000000000,I1,city_water,0
pump_speed,,1546300829000000000,I1,city_water,0
pump_speed,,1546300830000000000,I1,city_water,0
pump_speed,,1546300831000000000,I1,city_water,0
pump_speed,,1546300832000000000,I1,city_water,0
pump_speed,,1546300833000000000,I1,city_water,0
pump_speed,,1546300834000000000,I1,city_water,0
pump_speed,,1546300835000000000,I1,city_water,0
pump_speed,,1546300836000000000,I1,city_water,0
pump_speed,,1546300837000000000,I1,city_water,0
pump_speed,,1546300838000000000,I1,city_water,0
pump_speed,,1546300839000000000,I1,city_water,0
pump_speed,,1546300840000000000,I1,city_water,0
pump_speed,,1546300841000000000,I1,city_water,0
pump_speed,,1546300842000000000,I1,city_water,0
pump_speed,,1546300843000000000,I1,city_water,0
pump_speed,,1546300844000000000,I1,city_water,0
pump_speed,,1546300845000000000,I1,city_water,0
pump_speed,,1546300846000000000,I1,city_water,0
pump_speed,,1546300847000000000,I1,city_water,0
pump_speed,,1546300848000000000,I1,city_water,0
pump_speed,,1546300849000000000,I1,city_water,0
pump_speed,,1546300850000000000,I1,city_water,0
pump_speed,,1546300851000000000,I1,city_water,0
pump_speed,,1546300852000000000,I1,city_water,0
pump_speed,,1546300853000000000,I1,city_water,0
pump_speed,,1546300854000000000,I1,city_water,0
pump_speed,,1546300855000000000,I1,city_water,0
pump_speed,,1546300856000000000,I1,city_water,0
pump_speed,,1546300857000000000,I1,city_water,0
pump_speed,,1546300858000000000,I1,city_water,0
pump_speed,,1546300859000000000,I1,city_water,0
pump_speed,,1546300860000000000,I1,city_water,0
